,GEBOUWTYPE,CONSTR_PERIOD,clu_lab,count,count_tabula_type,kadaster_count,scale_kadaster
0,GESLOTEN,pre 45,0_0.0,4969,52495,354296,33536.0
1,GESLOTEN,pre 45,0_1.0,6264,52495,354296,42277.0
2,GESLOTEN,pre 45,0_2.0,6013,52495,354296,40583.0
3,GESLOTEN,pre 45,1_0.0,6542,52495,354296,44153.0
4,GESLOTEN,pre 45,1_1.0,5901,52495,354296,39827.0
5,GESLOTEN,pre 45,1_2.0,5444,52495,354296,36742.0
6,GESLOTEN,pre 45,2_0.0,5813,52495,354296,39233.0
7,GESLOTEN,pre 45,2_1.0,5682,52495,354296,38349.0
8,GESLOTEN,pre 45,2_2.0,5867,52495,354296,39597.0
9,GESLOTEN,45-70,0_0.0,4900,49382,159133,15790.0
10,GESLOTEN,45-70,0_1.0,5793,49382,159133,18668.0
11,GESLOTEN,45-70,0_2.0,5480,49382,159133,17659.0
12,GESLOTEN,45-70,1_0.0,5578,49382,159133,17975.0
13,GESLOTEN,45-70,1_1.0,5786,49382,159133,18645.0
14,GESLOTEN,45-70,1_2.0,5487,49382,159133,17682.0
15,GESLOTEN,45-70,2_0.0,5818,49382,159133,18748.0
16,GESLOTEN,45-70,2_1.0,5211,49382,159133,16792.0
17,GESLOTEN,45-70,2_2.0,5329,49382,159133,17173.0
18,GESLOTEN,71-90,0_0.0,1764,15117,76472,8924.0
19,GESLOTEN,71-90,0_1.0,1655,15117,76472,8372.0
20,GESLOTEN,71-90,0_2.0,1534,15117,76472,7760.0
21,GESLOTEN,71-90,1_0.0,1557,15117,76472,7876.0
22,GESLOTEN,71-90,1_1.0,1743,15117,76472,8817.0
23,GESLOTEN,71-90,1_2.0,1861,15117,76472,9414.0
24,GESLOTEN,71-90,2_0.0,1668,15117,76472,8438.0
25,GESLOTEN,71-90,2_1.0,1741,15117,76472,8807.0
26,GESLOTEN,71-90,2_2.0,1594,15117,76472,8064.0
27,GESLOTEN,91-05,0_0.0,1039,8930,19714,2294.0
28,GESLOTEN,91-05,0_1.0,1006,8930,19714,2221.0
29,GESLOTEN,91-05,0_2.0,848,8930,19714,1872.0
30,GESLOTEN,91-05,1_0.0,1048,8930,19714,2314.0
31,GESLOTEN,91-05,1_1.0,1014,8930,19714,2239.0
32,GESLOTEN,91-05,1_2.0,995,8930,19714,2197.0
33,GESLOTEN,91-05,2_0.0,860,8930,19714,1899.0
34,GESLOTEN,91-05,2_1.0,1016,8930,19714,2243.0
35,GESLOTEN,91-05,2_2.0,1104,8930,19714,2437.0
36,GESLOTEN,06-12,0_0.0,253,2310,22250,2437.0
37,GESLOTEN,06-12,0_1.0,235,2310,22250,2264.0
