,Unnamed: 0,epc_ind,epc_label,total_co2,scenario_name,gas_consumption,oil_consumption,total_floor_area,heating_consumption,electricity_injected,total_investment_cost,electricity_consumption,domestic_hot_water_consumption,total_subsidies,total_oil_cost,pv_production,name,building_type,construction_year,scale_kadaster,heating_system,tco,dhw_system,emissions_2025,modified_emissions_2025,emissions_2026,modified_emissions_2026,emissions_2027,modified_emissions_2027,emissions_2028,modified_emissions_2028,emissions_2029,modified_emissions_2029,emissions_2030,modified_emissions_2030,emissions_2031,modified_emissions_2031,emissions_2032,modified_emissions_2032,emissions_2033,modified_emissions_2033,emissions_2034,modified_emissions_2034,emissions_2035,modified_emissions_2035,emissions_2036,modified_emissions_2036,emissions_2037,modified_emissions_2037,emissions_2038,modified_emissions_2038,emissions_2039,modified_emissions_2039,emissions_2040,modified_emissions_2040,total_emissions,modified_total_emissions,total_co2_modified,epc_ind_modified,solar_injection_emissions_2025,solar_injection_emissions_2026,solar_injection_emissions_2027,solar_injection_emissions_2028,solar_injection_emissions_2029,solar_injection_emissions_2030,solar_injection_emissions_2031,solar_injection_emissions_2032,solar_injection_emissions_2033,solar_injection_emissions_2034,solar_injection_emissions_2035,solar_injection_emissions_2036,solar_injection_emissions_2037,solar_injection_emissions_2038,solar_injection_emissions_2039,solar_injection_emissions_2040
614370,0,7,2,390.14819999999986,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery + Solar Thermal Collector",7402,0,221,5832,7745,215350,1300,3155,"---
r1: 23250
r2: 16275
r3: 1396
r4: 23250
r5: 16275
",0.0,8617,type_123,OPEN,1998.0,15476.0,Gasboiler,226782.98200000002,Gasboiler,585.4422804843584,1675.1510658448929,627.234503976279,1666.7212922933807,667.1006267036221,1658.6800262661432,705.1294179120829,1651.0093624071828,741.4055556912106,1643.6922205743099,776.0098155257296,1636.7123078070679,809.0192501569954,1630.0540820474641,840.5073611550777,1623.702717532723,870.5442625835078,1617.6440717830008,899.1968371211228,1611.8646541105572,926.528884988634,1606.3515955802602,952.6012660115405,1601.0926203545382,977.4720351357097,1596.0760183589725,1001.1965716973795,1591.290619207666,1023.8277027354234,1586.7257673303259,1045.4158206204568,1582.37129824568,13448.632192499132,25979.139719744162,1714.5432,94.6131221719457,1089.7087853605344,1039.4867883171016,991.5793995625211,945.8799444951,902.2866648830993,860.7024922813383,821.0348318904687,783.1953563776453,747.0998091994929,712.6678169894344,679.8227105916262,648.4913543429977,618.6039832232628,590.0940475102865,562.8980645949025,536.9554776252232
630827,0,9,2,394.0272,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery + Solar Thermal Collector",7417,0,222,5282,7745,215250,1305,3155,"---
r1: 23250
r2: 16275
r3: 1490
r4: 23250
r5: 16275
",0.0,8617,type_125,OPEN,1998.0,15847.0,Gasboiler,226733.682,Gasboiler,589.1697722760696,1678.878557636604,630.9295735620226,1670.4163618791242,670.7647683431071,1662.3441679056282,708.7640569982642,1654.6440014933642,745.0120519241887,1647.298716807288,779.589465940372,1640.2919582217103,812.573292011024,1633.6081239014927,844.0369746840495,1627.2323310616948,874.0505736288271,1621.15038282832,902.6809196369325,1615.3487366263669,929.9917634331732,1609.8144740247994,956.0439176282885,1604.5352719712862,980.8953921293979,1599.4993753526608,1004.6015233097165,1594.695570820003,1027.2150972251554,1590.113161820058,1048.7864671521706,1585.7419447773939,13505.10560988276,26035.613137127795,1718.4222000000002,96.21846846846847,1089.7087853605344,1039.4867883171016,991.5793995625211,945.8799444951,902.2866648830993,860.7024922813383,821.0348318904687,783.1953563776453,747.0998091994929,712.6678169894344,679.8227105916262,648.4913543429977,618.6039832232628,590.0940475102865,562.8980645949025,536.9554776252232
519809,0,11,2,701.9441999999999,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery",4827,3155,204,4827,7745,207700,1244,3155,"---
r1: 23250
r2: 16275
r3: 1382
r4: 23250
r5: 16275
",315.1,8617,type_105,OPEN,1958.0,27557.0,Gasboiler,215291.405,Gasboiler,898.9351724171938,1988.6439577777282,941.0905246159487,1980.5773129330503,981.3030403413879,1972.882439903909,1019.6622601468501,1965.54220464195,1056.2535978818555,1958.5402627649548,1091.1585308817325,1951.861023163071,1124.454781391874,1945.4896132823426,1156.216489630591,1939.4118460082364,1186.5143788759324,1933.6141880754253,1215.4159129440525,1928.083729933487,1242.9854464097918,1922.808157001418,1269.2843679039602,1917.775722246958,1294.3712368063998,1912.9752200296628,1318.3019136392031,1908.3959611494895,1341.1296844504245,1904.027749045327,1362.905379465258,1899.8608570904812,18499.982717802457,31030.49024504749,2026.3392000000001,105.91421568627452,1089.7087853605344,1039.4867883171016,991.5793995625211,945.8799444951,902.2866648830993,860.7024922813384,821.0348318904687,783.1953563776453,747.0998091994929,712.6678169894344,679.8227105916262,648.4913543429977,618.603983223263,590.0940475102864,562.8980645949025,536.9554776252232
666687,0,13,2,734.1948,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + PV full roof with battery + Solar Thermal Collector",9123,0,216,5967,7745,197300,1283,3155,"---
r1: 0
r2: 0
r3: 0
r4: 0
r5: 0
",0.0,8617,type_132,OPEN,2012.0,9457.0,Gasboiler,211202.654,Gasboiler,930.0040083925405,2019.712793753075,971.9064673847499,2011.3932557018516,1011.8777451293722,2003.4571446918933,1050.0068450190656,1995.8867895141657,1086.3786684990848,1988.6653333821841,1121.0742041159447,1981.7766963972829,1154.1707078532977,1975.2055397437664,1185.7418751565726,1968.937231534218,1215.8580050294224,1962.9578142289154,1244.5861565673692,1957.2539735568037,1271.9902982771996,1951.8130088688258,1298.1314505145963,1946.622804857594,1323.0678213571691,1941.671804580432,1346.854936215433,1936.9489837257195,1369.5457614703344,1932.4438260652369,1391.1908224126284,1928.1463000378517,18972.38577339478,31502.893300639815,2058.5898,102.64120370370371,1089.7087853605344,1039.4867883171016,991.5793995625211,945.8799444951001,902.2866648830993,860.7024922813382,821.0348318904687,783.1953563776453,747.0998091994929,712.6678169894344,679.8227105916262,648.4913543429977,618.603983223263,590.0940475102864,562.8980645949025,536.9554776252232
525554,0,18,2,717.8435999999999,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery",4296,3155,204,4296,7033,202000,1251,3155,"---
r1: 23250
r2: 16275
r3: 1355
r4: 23250
r5: 16275
",315.1,7899,type_106,OPEN,1958.0,21847.0,Gasboiler,209480.153,Gasboiler,893.0476920652537,1882.5792462861239,930.5407310459029,1874.4672103530916,966.3058080993549,1866.7290381991884,1000.4225607397458,1859.3474993626041,1032.9669561841085,1852.3061574911244,1064.011460507334,1845.5893337435705,1093.6252000012018,1839.1820718779827,1121.8741150967662,1833.070104948797,1148.8211071928383,1827.2398235388723,1174.5261787175068,1821.6782454556208,1199.0465667345666,1816.3729868237733,1222.4368703923546,1811.3122345104055,1244.7491724987858,1806.4847198208267,1266.033155493289,1801.8796934067616,1286.3362120738896,1797.4869013309522,1305.7035507257533,1793.296562234881,17950.44733756865,29329.021829384572,1920.4866,104.18872549019608,989.5315542208701,943.9264793071886,900.4232300998335,858.9249386228583,819.3392013070159,781.5778732362364,745.5568718767809,711.1959898520308,678.418716346034,647.152066738114,617.3264200892067,588.8753641180508,561.7355473220409,535.8465379134725,511.1506892570626,487.5930115091278
530673,0,18,2,653.6736000000001,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery",3976,3155,205,3976,7033,201400,1253,3155,"---
r1: 23250
r2: 16275
r3: 1360
r4: 23250
r5: 16275
",315.1,7899,type_107,OPEN,1958.0,19409.0,Gasboiler,208414.367,Gasboiler,828.8170887819382,1818.3486430028083,866.2971588802004,1810.223638187389,902.0498647551487,1802.4730948549823,936.1548163742185,1795.0797549970769,968.6879546772996,1788.0271559843154,999.721720673191,1781.2995939094276,1029.3252167428136,1774.8820886195942,1057.564360508355,1768.760350360386,1084.502031610966,1762.920747957,1110.1982117238308,1757.3502784619445,1134.7101181123821,1752.036538201589,1158.0923310390538,1746.9676951571046,1180.3969152962609,1742.1324626183018,1201.6735361382239,1737.5200740516964,1221.9695698697822,1733.1202591268448,1241.330209338439,1728.9232208475669,16921.4911045221,28300.065596338023,1856.3166,103.76829268292683,989.5315542208701,943.9264793071886,900.4232300998335,858.9249386228583,819.3392013070159,781.5778732362365,745.5568718767806,711.1959898520308,678.418716346034,647.1520667381137,617.326420089207,588.8753641180508,561.7355473220409,535.8465379134725,511.1506892570626,487.5930115091278
486716,0,28,2,834.0426,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery",4271,3155,201,4271,6315,194900,1242,3155,"---
r1: 23250
r2: 16275
r3: 1159
r4: 23250
r5: 16275
",315.1,7181,type_97,OPEN,1945.0,11151.0,Gasboiler,202938.07499999998,Gasboiler,987.7628281298914,1876.2729610610438,1020.6583983043697,1868.2192850987528,1052.0378925783511,1860.536783248115,1081.9711831602785,1853.2083490074774,1110.524922020405,1846.2176642717636,1137.7626893036502,1839.549162997214,1163.7451349024727,1833.187996540731,1188.5301135049974,1827.1200005966475,1212.1728134191058,1821.3316636572977,1234.7258794593413,1815.810096927163,1256.2395301702622,1810.5430056236023,1276.7616696472528,1805.5186616002586,1296.3379942037943,1800.7258772321875,1315.0120941227005,1796.1539805045545,1332.82555071789,1791.7927912494342,1349.81802892282,1787.6325984777955,19016.886722567582,29233.820878094037,1913.9076,106.54477611940298,888.5101329311524,847.5608867943831,808.4988906697638,771.2371658471989,735.6927422513586,701.7864736935637,669.4428616382584,638.5898870916501,609.1588502381919,581.0842174678216,554.3034754533401,528.7569919530058,504.38788302839316,481.14188638185396,458.9672405315441,437.8145695549754
604970,0,11,2,564.3036,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery",7751,0,187,4596,7033,185700,1195,3155,"---
r1: 23250
r2: 16275
r3: 1293
r4: 23250
r5: 16275
",0.0,7899,type_122,OPEN,1998.0,16258.0,Gasboiler,197699.106,Gasboiler,741.2045839980891,1730.7361382189592,779.0607516855728,1722.9872309927614,815.1722217371209,1715.5954518369545,849.6194029745135,1708.5443415973718,882.4789983747535,1701.8181996817693,913.8241758633372,1695.4020490995738,943.7247312360804,1689.2816031128611,972.2472435722797,1683.4432334243106,999.4552234852629,1677.8739398312969,1025.409254540437,1672.5613212785506,1050.1671281557246,1667.4935482449314,1073.7839722847746,1662.6593364028254,1096.3123741694758,1658.047921491517,1117.8024974351124,1653.6490353485851,1138.3021937888907,1649.4528830459533,1157.8571095705547,1645.4501210796825,15556.42186287198,26934.996354687908,1766.9466,105.024064171123,989.5315542208701,943.9264793071886,900.4232300998335,858.9249386228583,819.3392013070159,781.5778732362365,745.5568718767807,711.195989852031,678.418716346034,647.1520667381137,617.3264200892067,588.8753641180508,561.7355473220412,535.8465379134727,511.1506892570626,487.5930115091278
588553,0,10,2,654.6816000000001,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Floor insulation + Condensing gas boiler + PV full roof with battery",8201,0,187,5045,7033,181600,1193,3155,"---
r1: 23250
r2: 16275
r3: 1207
r4: 23250
r5: 16275
",0.0,7899,type_120,OPEN,1998.0,16053.0,Gasboiler,194258.72199999998,Gasboiler,831.6431872814045,1821.1747415022746,869.5123238512751,1813.4388031584638,905.6361650813269,1806.0593951811604,940.0951473400409,1799.0200859628992,972.9659998815623,1792.3052011885782,1004.3219156974802,1785.8997889337168,1034.2327144944688,1779.7895863712497,1062.764998160691,1773.9609880127218,1089.982299067135,1768.401015413169,1115.945221534113,1763.0972882722267,1140.7115767779087,1758.0379968671155,1164.3365116380753,1753.2118757561261,1186.8726313720008,1748.6081786940417,1208.3701167901777,1744.2166547036504,1228.876835992998,1740.0275252500605,1248.4384509578692,1736.031462466997,17004.70609591853,28383.28058773445,1857.3246000000001,104.024064171123,989.5315542208701,943.9264793071886,900.4232300998335,858.9249386228583,819.3392013070159,781.5778732362365,745.5568718767809,711.1959898520308,678.418716346034,647.1520667381137,617.3264200892067,588.8753641180508,561.7355473220409,535.8465379134727,511.1506892570626,487.5930115091278
561728,0,57,2,1159.6535999999999,"Triple glass, incl. frame + Internal wall insulation + Roof replacement + Condensing gas boiler + PV full roof with battery + Solar Thermal Collector",7066,3155,215,8652,7745,174450,1281,3155,"---
r1: 17250
r2: 12075
r3: 590
r4: 17250
r5: 12075
",315.1,8617,type_115,OPEN,1980.0,37311.0,Gasboiler,185589.433,Gasboiler,1355.523411675856,2445.2321970363905,1397.4388395504523,2436.925627867554,1437.4224884735784,2429.0018880360994,1475.563389384593,2421.443333879693,1511.9464700058936,2414.233134888993,1546.6527439500874,2407.355236231426,1579.759491111686,2400.7943230021547,1611.340429744984,2394.5357861226294,1641.4658806112943,2388.5656898107873,1670.2029235610453,2382.8707405504797,1697.6155468993838,2377.43825749101,1723.7647898678968,2372.2561442108945,1748.7088785596939,2367.3128617829566,1772.5033555704981,2362.5974030807847,1795.2012036744416,2358.099268269344,1816.852963799943,2353.808441425166,25781.962806441323,38312.47033368636,2484.0486,147.0581395348837,1089.7087853605344,1039.4867883171016,991.5793995625211,945.8799444951001,902.2866648830993,860.7024922813384,821.0348318904687,783.1953563776453,747.0998091994929,712.6678169894344,679.8227105916262,648.4913543429977,618.6039832232627,590.0940475102866,562.8980645949025,536.9554776252232
